r,t,y,TotalCapacityAnnual
REGION,AOCRUDRE2X,2037,22999977.0
REGION,AOCRUDRE2X,2038,23999976.0
REGION,AOCRUDRE2X,2039,24999975.0
REGION,AOCRUDRE2X,2040,25999974.0
REGION,AOCRUDRE2X,2041,26999973.0
REGION,AOCRUDRE2X,2042,27999972.0
REGION,AOCRUDRE2X,2043,28999971.0
REGION,AOCRUDRE2X,2044,29999970.0
REGION,AOCRUDRE2X,2045,30999969.0
REGION,AOCRUDRE2X,2046,31999968.0
REGION,AOCRUDRE2X,2047,32999967.0
REGION,AOCRUDRE2X,2048,33999966.0
REGION,AOCRUDRE2X,2049,34999965.0
REGION,AOCRUDRE2X,2050,34999965.0
REGION,AOCRUDRE2X,2051,34999965.0
REGION,AOCRUDRE2X,2052,34999965.0
REGION,AOCRUDRE2X,2053,34999965.0
REGION,AOCRUDRE2X,2054,34999965.0
REGION,AOCRUDRE2X,2055,34999965.0
REGION,AOCRUDRE2X,2056,34999965.0
REGION,AOCRUDRE2X,2057,34999965.0
REGION,AOCRUDRE2X,2058,34999965.0
REGION,AOCRUDRE2X,2059,34999965.0
REGION,AOCRUDRE2X,2060,34999965.0
REGION,AOCRUDRE2X,2061,34999965.0
REGION,AOCRUDRE2X,2062,34999965.0
REGION,AOCRUDRE2X,2063,34999965.0
REGION,AOCRUDRE2X,2064,34999965.0
REGION,AOCRUDRE2X,2065,34999965.0
REGION,AOCRUDRE2X,2066,34999965.0
REGION,AOCRUDRE2X,2067,34999965.0
REGION,AOCRUDRE2X,2068,34999965.0
REGION,AOCRUDRE2X,2069,34999965.0
REGION,AOCRUDRE2X,2070,34999965.0
REGION,AOEL00T00X,2015,1.23591
REGION,AOEL00T00X,2016,1.3115772363941
REGION,AOEL00T00X,2017,1.52435615111286
REGION,AOEL00T00X,2018,1.7359329250705
REGION,AOEL00T00X,2019,1.94631771720303
REGION,AOEL00T00X,2020,2.15571439851834
REGION,AOEL00T00X,2021,2.31981863315779
REGION,AOEL00T00X,2022,2.49566976003555
REGION,AOEL00T00X,2023,2.68414356802368
REGION,AOEL00T00X,2024,2.88617781151215
REGION,AOEL00T00X,2025,3.10277604565523
REGION,AOEL00T00X,2026,3.33173097078648
REGION,AOEL00T00X,2027,3.5771411045818
